date,spend,cpm,ctr,paid_downloads,cpi_paid_reported,arpd_paid_d0,appd_paid_d0
2014-10-07,36,0.91,0.048,1363,0.026,0.084,0.058
2014-10-08,90,0.9,0.0449,3123,0.029,0.083,0.054
2014-10-09,90,1.04,0.046,2787,0.032,0.063,0.031
2014-10-10,87,1.01,0.0433,2500,0.035,0.067,0.032
2014-10-11,90,0.92,0.0401,2583,0.035,0.081,0.046
2014-10-12,90,0.82,0.034,2541,0.035,0.056,0.021
2014-10-13,90,0.81,0.032400000000000005,2361,0.038,0.069,0.031
2014-10-14,81,0.93,0.0344,1960,0.041,0.095,0.054
2014-10-15,78,0.94,0.0368,1988,0.039,0.102,0.063
2014-10-16,90,1.05,0.0361,1924,0.047,0.099,0.052
2014-10-17,84,1.08,0.034,1645,0.051,0.103,0.052
2014-10-18,77,1.08,0.035699999999999996,1556,0.049,0.1,0.051
2014-10-19,90,0.96,0.032400000000000005,1863,0.048,0.08,0.032
2014-10-20,75,0.97,0.0317,1546,0.049,0.091,0.042
2014-10-21,68,1.0,0.0331,1386,0.049,0.111,0.062
2014-10-22,79,1.05,0.0339,1546,0.051,0.093,0.042
2014-10-23,78,1.23,0.0348,1266,0.062,0.109,0.047
2014-10-24,83,1.26,0.0351,1378,0.06,0.1,0.04
2014-10-25,80,1.04,0.0286,1353,0.059,0.113,0.054
2014-10-26,87,0.93,0.0316,1796,0.048,0.079,0.031
2014-10-27,90,0.85,0.033,2091,0.043,0.088,0.045
2014-10-28,90,1.15,0.0409,2015,0.045,0.074,0.029
2014-10-29,90,1.28,0.0403,1662,0.054,0.081,0.027
2014-10-30,90,1.66,0.0443,1449,0.062,0.085,0.023
2014-10-31,90,1.64,0.0463,1554,0.058,0.074,0.016
2014-11-01,90,1.42,0.0436,1715,0.052,0.075,0.023
2014-11-02,90,1.09,0.0371,1867,0.048,0.073,0.025
2014-11-03,90,1.12,0.0361,1737,0.052,0.077,0.025
2014-11-04,90,1.28,0.041100000000000005,1723,0.052,0.126,0.074
2014-11-05,90,1.37,0.038900000000000004,1507,0.06,0.104,0.044
