date,total_downloads,total_revenue,non_attributed_downloads,pct_non_attr,avg_revenue_per_download
2014-08-01,5,0.36,5,1.0,0.07
2014-08-02,8,0.73,8,1.0,0.09
2014-08-03,4,0.28,4,1.0,0.07
2014-08-04,4,0.34,4,1.0,0.09
2014-08-05,9,0.77,9,1.0,0.09
2014-08-06,6,0.48,6,1.0,0.08
2014-08-07,9,0.74,9,1.0,0.08
2014-08-08,3,0.26,3,1.0,0.09
2014-08-09,4,0.28,4,1.0,0.07
2014-08-10,15,1.4,15,1.0,0.09
2014-08-11,8,0.74,8,1.0,0.09
2014-08-12,24,1.78,24,1.0,0.07
2014-08-13,20,1.88,20,1.0,0.09
2014-08-14,24,2.3,24,1.0,0.1
2014-08-15,14,0.98,14,1.0,0.07
2014-08-16,16,1.46,16,1.0,0.09
2014-08-17,15,1.23,15,1.0,0.08
2014-08-18,22,1.58,22,1.0,0.07
2014-08-19,11,1.0,11,1.0,0.09
2014-08-20,8,0.72,8,1.0,0.09
2014-08-21,10,0.96,10,1.0,0.1
2014-08-22,16,1.25,16,1.0,0.08
2014-08-23,13,1.03,13,1.0,0.08
2014-08-24,17,1.39,17,1.0,0.08
2014-08-25,11,1.09,11,1.0,0.1
2014-08-26,16,1.23,16,1.0,0.08
2014-08-27,16,1.33,16,1.0,0.08
2014-08-28,15,1.25,15,1.0,0.08
2014-08-29,3,0.26,3,1.0,0.09
2014-08-30,7,0.61,7,1.0,0.09
2014-08-31,14,1.27,14,1.0,0.09
2014-09-01,6,0.51,6,1.0,0.09
2014-09-02,5,0.4,5,1.0,0.08
2014-09-03,4,0.3,4,1.0,0.08
2014-09-04,9,0.68,9,1.0,0.08
2014-09-05,4,0.29,4,1.0,0.07
2014-09-06,7,0.68,7,1.0,0.1
2014-09-07,2,0.16,2,1.0,0.08
2014-09-08,12,0.9,12,1.0,0.08
2014-09-09,18,1.33,18,1.0,0.07
2014-09-10,18,1.64,18,1.0,0.09
2014-09-11,21,2.0,21,1.0,0.1
2014-09-12,13,1.09,13,1.0,0.08
2014-09-13,14,1.23,14,1.0,0.09
2014-09-14,22,2.09,22,1.0,0.1
2014-09-15,28,2.13,28,1.0,0.08
2014-09-16,18,1.35,18,1.0,0.08
2014-09-17,17,1.65,17,1.0,0.1
2014-09-18,18,1.8,18,1.0,0.1
2014-09-19,14,1.01,14,1.0,0.07
2014-09-20,19,1.52,19,1.0,0.08
2014-09-21,17,1.48,17,1.0,0.09
2014-09-22,28,2.21,28,1.0,0.08
2014-09-23,12,1.14,12,1.0,0.1
2014-09-24,23,1.98,23,1.0,0.09
